case_id,hm_delta,hm_dr,hm_ds,ksat,b_av,b_delta1,b_delta,alpha_i,k_nm
0,145031.12767494362,63.63098967553802,45.62468282916786,1.0471201913091532,0.11647025862122123,0.18225183031949183,0.18225149009817848,0.6390634093497889,1.1064756499054593
1,174032.170119785,73.58010227117902,54.84675352270045,1.0462177877299677,0.13974971868790914,0.21869567192292844,0.2186952748546423,0.6390157207593763,1.1065581675924359
2,203121.42922566526,82.83204517544196,63.50229931837251,1.0451626197408723,0.16309532596116186,0.2552503743639446,0.25524991593680363,0.6389632896158995,1.1066489462495712
3,232263.9188515194,95.31501667472888,70.76715445440716,1.0447782374503471,0.18648832508727795,0.291871975380262,0.2918714484631637,0.6389399376651057,1.1066894023157037
4,261416.62337800412,111.53545905550199,77.29766780532982,1.0451317307548358,0.20990139764681198,0.3285064411539756,0.328505817412235,0.6389579317050911,1.106658339618558
5,290489.54984079965,133.13058993204612,83.95023265802436,1.0465467536364652,0.23327005803830003,0.3650406691571721,0.3650399342897849,0.6390261342013062,1.10654035387401
6,319304.3891044802,167.35705206501413,92.08272646777273,1.0503896928994163,0.2564688489114117,0.40125061613174834,0.40124972922784474,0.6391751326660186,1.106282625848425
7,347628.20540827693,222.76578454674907,102.25531575632341,1.057663373655965,0.2793317781253125,0.43684354760200805,0.43684248651649854,0.6394336328244546,1.105835637105325
8,375106.23323949566,313.62687086989575,112.82251731698257,1.0696322880978189,0.3016173379914764,0.4713736421496324,0.47137239466437564,0.6398706021090449,1.1050806994590787
9,401225.5891026524,467.01699429562206,124.47613581866008,1.0896157742870234,0.3229869859164925,0.5041965012034154,0.5041949452628519,0.6405994128880244,1.1038239328430524
10,425476.0602751978,703.5645329697766,137.33451741648423,1.1193495759502539,0.34309693985805884,0.5346709970583078,0.5346689860955558,0.6416997222216676,1.1019319725792702
11,447648.7914375085,1015.0597718635352,151.51670239255455,1.156631505083007,0.36178766513632443,0.5625348111262304,0.5625320618273705,0.6431414130619805,1.0994630771918867
12,467520.3933601435,1396.6054766633774,165.8474759525479,1.2001932516296416,0.378875580587834,0.5875057377458626,0.5875034532734549,0.6448908146442596,1.096479457719489
13,485267.39669350133,1825.6545501799565,180.1453005817414,1.2470255101963876,0.39445408243435076,0.609806877182804,0.6098049953915791,0.646852822484763,1.0931527832315373
14,501225.90572877065,2304.006625110286,194.8591320719918,1.2974494745629594,0.4087184642115232,0.6298606398757379,0.6298590492905585,0.6489046472728829,1.0896956429845468
